,filler type,filler type.1,matrix type,filler size/nm,BET,cage size/A,aperture size/A,loading amout,thickness/μm,T/℃,P/bar,Control CH4 permeability,Control CO2/CH4 selectivity,Relative CO2 permeability,Relative CO2/CH4 selectivity
32,Cu–BPY–HFS,Cu–BPY–HFS,Matrimid 5218,250.0,2000.0,8.0,8.0,0.2,,35,3.9,0.21,34.7142857142857,1.35528120713306,0.790580704160951
71,MOF-5,MOF-5,PI,3000.0,2387.0,7.8,7.8,0.05,40.0,25,1.0,0.22,9.31818181818182,1.78048780487805,1.12559573871601
81,MOF-5,MOF-5,PI,3000.0,2387.0,7.8,7.8,0.05,40.0,25,1.0,0.22,9.31818181818182,2.2,0.989775051124745
195,ZIF-8,ZIF-8,PPEES,4900.0,1550.0,11.8,3.4,0.1,,30,1.0,0.3,25.0,1.4,0.933333333333333
432,MIL-53,MIL-53,PSF,1000.0,1475.0,,6.0,0.15,75.0,35,3.0,0.211570247933884,24.2,1.015625,1.00413223140496
360,ZIF-11,ZIF-11,Matrimid 5218,1000.0,1100.0,16.5,3.0,0.2,70.0,35,4.0,0.26,16.1538461538462,2.79761904761905,1.69158361018826
270,ZIF-67,ZIF-67,PEBAX 1657,300.0,1465.0,11.6,3.3,0.03,95.0,35,11.0,4.1,17.0975609756098,2.20114122681883,1.58327702279951
291,ZIF-8,ZIF-8,Pebax2533,400.0,1350.0,11.6,3.4,0.25,50.0,25,2.0,42.0,8.35714285714286,3.08262108262108,0.959037670148781
211,ZIF-8,ZIF-8,PEGDA,200.0,1500.0,11.8,3.4,0.1,125.0,35,,6.5,20.0,2.46153846153846,1.0
7,Cu3BTC2,Cu3BTC2,Matrimid 5218,10000.0,1071.0,8.6,8.6,0.1,42.5,35,10.0,0.556179775280899,17.8,1.55555555555556,1.2247191011236
440,MIL-101,MIL-101,PI,1000.0,519.0,19.9,12.0,0.08,75.0,35,3.0,0.236842105263158,38.0,1.13333333333333,0.918947368421053
83,MOF-5,MOF-5,PI,3000.0,2387.0,7.8,7.8,0.05,40.0,25,3.0,0.225,9.77777777777778,2.35454545454545,0.878561736770692
243,ZIF-8,ZIF-8,6FDA-HAB DAM-7,50.0,1350.0,11.6,3.4,0.1,60.0,35,1.0,12.7,23.9370078740157,1.39144736842105,1.0040557715311
65,MOF-5,MOF-5,PI,3000.0,2387.0,7.8,7.8,0.05,40.0,25,5.0,0.249,9.23694779116466,2.51304347826087,0.827708764665286
522,UiO-66,UiO-66,Matrimid 5218,350.0,980.0,11.0,6.0,0.1,100.0,25,3.0,0.6,30.0,2.16666666666667,2.1
500,UiO-66,UiO-66,6FDA-DAM,,965.0,11.0,6.0,0.16,125.0,25,2.0,35.0877192982456,28.5,1.23,1.07017543859649
202,ZIF-8,ZIF-8,P84,30.0,1821.0,11.8,3.4,0.17,20.0,25,3.0,0.049,54.2857142857143,2.3796992481203,1.71478328173375
252,ZIF-8,ZIF-8,PVC-g-POEM,250.0,1350.0,11.6,3.4,0.2,,35,1.0,2.4,18.125,5.16551724137931,0.655938697318008
166,MOF-74,MOF-74,PIM-1-TD,11000.0,1250.0,11.0,11.0,0.1,50.0,25,2.0,536.0,12.2686567164179,1.4294403892944,1.08370586797992
521,UiO-66,UiO-66,Matrimid 5218,350.0,980.0,11.0,6.0,0.05,100.0,25,3.0,0.6,30.0,2.19444444444444,1.5
264,ZIF-7,ZIF-7,PEBAX 1657,35.0,1100.0,7.5,3.0,0.34,1.052,20,3.5,5.14285714285714,14.0,0.569444444444444,3.14285714285714
98,MOF-5,MOF-5,PI,3000.0,2387.0,7.8,7.8,0.05,40.0,25,3.0,0.225,9.77777777777778,3.08181818181818,0.901702328880482
431,MIL-53,MIL-53,Matrimid 5218,650.0,1350.0,,6.0,0.25,90.0,35,3.0,0.260869565217391,34.5,0.955555555555555,1.00289855072464
462,MIL-125,MIL-125,Matrimid 9725,1750.0,1040.0,10.7,5.5,0.15,,35,9.0,0.133333333333333,30.0,2.5,1.44
256,ZIF-8,ZIF-8,PEBAX 1657,275.0,1029.0,11.6,3.4,0.2,80.0,25,1.0,4.0,19.0,2.13157894736842,0.81203007518797
467,MIL-125,MIL-125,Matrimid 9725,150.0,930.0,10.7,5.5,0.15,,35,9.0,0.133333333333333,30.0,2.0,1.61666666666667
392,MIL-53,MIL-53,6FDA/ODA-DAM,125.0,840.0,7.8,7.8,0.15,61.5,35,11.2,6.4,20.3125,0.869230769230769,1.39076923076923
12,Cu3BTC2,Cu3BTC2,Ultem 1000,1000.0,1439.0,,8.6,0.3,42.5,35,3.5,0.0310035354908893,36.77,3.62280701754386,0.924394887136252
5,MMIF,MMIF,Matrimid 5218,45.0,420.0,3.35,3.35,0.2,60.0,35,4.0,0.19,35.8947368421053,1.2683284457478,0.948749624771977
55,MOF-5,MOF-5,PI,3000.0,2387.0,7.8,7.8,0.05,40.0,25,5.0,0.249,9.23694779116466,2.65652173913044,0.845874569109307
266,ZIF-8,ZIF-8,PEBAX 1657,700.0,1506.0,11.6,3.4,0.03,95.0,35,11.0,4.1,17.0975609756098,1.79315263908702,1.16697235242171
526,UiO-66,UiO-66,6FDD,324.0,537.0,11.0,6.0,0.2,50.0,35,3.0,5.3,31.1320754716981,1.53030303030303,1.01382575757576
79,MOF-5,MOF-5,PI,3000.0,2387.0,7.8,7.8,0.05,40.0,25,4.0,0.227,9.91189427312775,2.31111111111111,0.957339821573398
162,[Ni3(HCOO)6],[Ni3(HCOO)6],BTDA-TDI/MDI (P84),400.0,293.0,4.6,4.6,0.07,,30,5.0,0.0163636363636364,44.0,1.45833333333333,1.43181818181818
131,NUS-8,NUS-8,PIM-1-TT,5000.0,664.0,6.0,6.0,0.05,65.0,25,1.0,272.108843537415,14.7,2.125,1.21768707482993
207,ZIF-71,ZIF-71,PIM-1-TT,,996.4,16.5,4.2,0.3,60.0,35,3.5,322.2,10.2256362507759,2.54259871915501,1.09302909581287
498,UiO-66,UiO-66,6FDA-DAM,,965.0,11.0,6.0,0.06,125.0,25,2.0,35.0877192982456,28.5,1.15,1.05263157894737
107,MOF-5,MOF-5,PI,3000.0,2387.0,7.8,7.8,0.05,40.0,25,2.0,0.223,9.41704035874439,3.19047619047619,1.01639455782313
519,UiO-66,UiO-66,PIM-1-TT,30.0,950.0,11.0,6.0,0.4,1.0,25,4.0,206.896551724138,14.5,0.666666666666667,1.6551724137931
273,ZIF-8,ZIF-8,6FDA-Durene,150.0,1350.0,11.6,3.4,0.03,50.0,25,2.0,65.0,22.5892307692308,1.08520057209017,0.970261859502905
492,UiO-66,UiO-66,6FDA-ODA,50.0,951.0,11.0,6.0,0.17,100.0,25,2.0,0.717948717948718,39.0,1.5,1.47435897435897
284,ZIF-8,ZIF-8,6FDA-Durene,150.0,1350.0,11.6,3.4,0.15,50.0,25,6.0,68.1,20.0558002936858,1.38607409576805,0.984271594596497
33,Cu–BPY–HFS,Cu–BPY–HFS,Matrimid 5218,250.0,2000.0,8.0,8.0,0.2,,35,3.9,0.21,34.7142857142857,1.37448559670782,0.780113446780113
394,MIL-53,MIL-53,Matrimid 5218,280.0,1440.0,8.5,8.5,0.05,,35,3.0,0.22,28.1818181818182,1.09677419354839,1.04908835904628
507,UiO-66,UiO-66,Matrimid 9725,150.0,1147.0,11.0,6.0,0.3,85.0,35,9.0,0.189102564102564,31.2,3.01694915254237,1.375
345,ZIF-8,ZIF-8,6FDA-durene-PDMC.,,1350.0,11.6,3.4,0.33,70.0,35,3.5,30.0,15.6166666666667,0.0505869797225187,1.08400670833969
